gameName,from,bestPrice,stock,price_jogonamesa,stock_jogonamesa,price_kultgames,stock_kultgames,price_gameplay,stock_gameplay,price_juegosdelamesaredonda,stock_juegosdelamesaredonda,price_diver,stock_diver,price_arenaporto,stock_arenaporto,price_dracotienda,stock_dracotienda,price_amazon,stock_amazon,price_planetongames,stock_planetongames,price_gglounge,stock_gglounge,price_versusgamecenter,stock_versusgamecenter,price_devir,stock_devir,price_ajogar,stock_ajogar,price_saltadacaixa,stock_saltadacaixa,price_jubilantsunday,stock_jubilantsunday
Machi Koro 2,jogonamesa.pt,14.80,em 23 dias,14.80,em 23 dias,,,29.95,ltima unidade em stock,24.25,en reposicin,28.79,esgotado em prencomenda,29.99, ltimos artigos em stock,,,,,,,28.90,only 1 left in stock,,,,,,,30.95, em stock,,
Moonrakers,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Zoo,jogonamesa.pt,27.34,em 23 dias,27.34,em 23 dias,,,35.90,restock,,,,,,,31.50,  fuera de stock,,,,,29.90,out of stock,,,,,33.99,esgotado,35.95, em stock,,
Obsession,gameplay.pt,87.95,em stock,,,,,87.95,em stock,,,,,,,,,,,,,,,,,,,,,,,,
Port Royal,jubilantsunday.com,9.32, em stock,12.00,imediata,,,12.95,em stock,11.65,en reposicin,14.99,disponvel,14.99, esgotado,,,19.76,em stock,,,,,,,,,10.95,adicionar ao carrinho,15.95,esgotado,9.32, em stock
Port Royal BIG BOX (preferred),jogonamesa.pt,22.46,em 9 dias,22.46,em 9 dias,,,24.99,restock,,,25.99,brevemente disponvel,25.99, esgotado,,,,,,,27.90,only 2 left in stock,,,,,,,25.95, em stock,,
Raiders of the North Sea,www.kultgames.pt,54.95,in stock,54.52,esgotado,54.95,in stock,62.95,em stock,,,,,59.99, esgotado,59.95,  ltimas unidades en stock,,,,,,,,,,,,,60.95, em stock,,
Rival Restaurants,jogonamesa.pt,52.89,esgotado,52.89,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocketmen,jogonamesa.pt,28.00,em 30 dias,28.00,em 30 dias,,,,,29.71,en stock,,,39.99, esgotado,31.45,  ltimas unidades en stock,,,,,,,,,,,,,34.95, em stock,29.16, em stock
Space Base,jubilantsunday.com,35.44, em stock,41.20,esgotado,,,51.95,em stock,37.36,en reposicin,,,,,39.99,  fuera de stock,44.95,apenas 1 em stock,,,,,,,,,,,,,35.44, em stock
Summer Camp,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Quacks of Quedlinburg,jogonamesa.pt,36.54,esgotado,36.54,esgotado,,,49.95,esgotado,,,,,,,,,,,,,39.90,only 2 left in stock,,,,,,,,,,
Tiny Towns,jubilantsunday.com,34.18, em stock,37.76,esgotado,44.95,delivery in 1 to 2 weeks time,42.95,em stock,,,,,,,35.99,  fuera de stock,53.15,em stock,,,45.90,only 3 left in stock,,,,,,,39.95,esgotado,34.18, em stock
Troyes,jogonamesa.pt,36.46,esgotado,36.46,esgotado,,,62.95,restock,49.45,en stock,,,,,54.99,  disponible,,,,,,,,,,,,,,,40.52, em stock
Tungaru,jogonamesa.pt,29.32,em 22 dias,29.32,em 22 dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wingspan: Oceania Expansion,jubilantsunday.com,24.74, em stock,25.89,em 30 dias,,,27.99,em stock,,,28.79,disponvel,31.99,,,,,,,,28.90,out of stock,,,,,,,,,24.74, em stock
LOVE TO HAVE,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Wonders,jogonamesa.pt,38.24,esgotado,38.24,esgotado,54.95,delivery in 1 to 2 weeks time,44.95,restock,40.76,en stock,44.99,disponvel,49.99, esgotado,47.99,  disponible,50.67,en stock,47.99,no disponible,43.40,only 3 left in stock,,,,,,,,,,
Anachrony EN,jogonamesa.pt,48.36,em 23 dias,48.36,em 23 dias,62.28,delivery in 1 to 2 weeks time,54.95,em stock,56.65,en reposicin,,,68.87, ltimos artigos em stock,64.95,  fuera de stock,,,,,,,,,,,,,,,,
Anachrony ES,juegosdelamesaredonda.com,48.71,en reposicin,,,,,,,48.71,en reposicin,,,,,58.50,  disponible,,,58.50,no disponible,,,,,,,,,,,,
Architects of the West Kingdom,jogonamesa.pt,40.87,em 22 dias,40.87,em 22 dias,67.95,in stock,59.95,em stock,,,52.19,encomenda ao fornecedor,59.99, esgotado,64.99,  ltimas unidades en stock,51.19,em stock,,,47.90,out of stock,,,,,44.90,adicionar ao carrinho,67.95, em stock,45.14, esgotado
Bärenpark,juegosdelamesaredonda.com,30.60,en reposicin,34.53,em 23 dias,,,39.95,em stock,30.60,en reposicin,49.49,disponvel,43.99, esgotado,,,39.22,apenas 4 em stock,,,,,,,,,,,,,,
Beez,jogonamesa.pt,32.97,esgotado,32.97,esgotado,,,44.95,ltima unidade em stock,40.45,en stock,,,,,39.99,  ltimas unidades en stock,40.31,apenas 2 em stock,,,35.90,only 1 left in stock,,,,,,,,,,
Between Two Castles of Mad King Ludwig,jogonamesa.pt,42.51,em 22 dias,42.51,em 22 dias,,,45.95,ltima unidade em stock,,,,,,,,,44.94,em stock,,,,,,,,,,,44.95, em stock,,
Brass: Birmingham,juegosdelamesaredonda.com,53.91,en reposicin,54.74,em 22 dias,79.95,in stock,84.95,em stock,53.91,en reposicin,71.99,encomenda ao fornecedor,79.99, esgotado,54.00,  disponible,,,,,69.90,only 1 left in stock,,,,,59.90,esgotado,71.95,esgotado,,
Café,jogonamesa.pt,16.11,em 22 dias,16.11,em 22 dias,,,,,18.66,en stock,17.99,encomenda ao fornecedor,17.99, esgotado,18.00,  disponible,,,,,,,,,,,19.95,adicionar ao carrinho,17.95, em stock,,
Camel Up 2nd PT,gameplay.pt,44.95,em stock,,,,,44.95,em stock,,,,,,,,,,,,,,,,,,,,,,,,
Camel Up 2nd ENG e outras,jogonamesa.pt,40.00,imediata,40.00,imediata,,,42.95,ltima unidade em stock,40.41,en stock,,,,,40.45,  disponible,42.17,em stock,,,,,,,,,,,,,,
Camel Up ENG e outras,juegosdelamesaredonda.com,24.95,en reposicin,,,,,,,24.95,en reposicin,,,,,,,,,,,,,,,,,,,,,,
Century: Spice Road,gglounge.pt,34.90,only 1 left in stock,,,,,39.99,esgotado,35.96,en reposicin,,,,,,,40.05,em stock,,,34.90,only 1 left in stock,,,,available,39.90,adicionar ao carrinho,,,,
Citadels 2nd,jubilantsunday.com,29.95, em stock,33.35,em 23 dias,39.95,delivery in 1 to 2 weeks time,34.95,em stock,,,,,49.19, esgotado,,,70.09,em stock,,,32.50,only 1 left in stock,,,,,,,,,29.95, em stock
Coimbra,arenaporto.com,43.69, esgotado,,,,,49.95,restock,,,,,43.69, esgotado,,,,,,,,,,,,,,,,,,
Concept,www.diver.pt,31.49,disponvel,32.00,imediata,39.95,delivery in 1 to 2 weeks time,33.99,em stock,,,31.49,disponvel,,,,,,,,,,,,,,,,,,,,
